"","month_st","month_rp","year_st","mean_size"
"236",6,5,2013,70
"237",6,5,2014,27.1086956521739
"238",6,5,2015,44.1784232365145
"239",6,5,2016,40.4658753709199
"240",6,5,2017,28.1677675033025
"241",6,5,2018,29.5440573770492
"242",6,5,2019,18.5631067961165
"243",6,6,2013,0
"244",6,6,2014,40
"245",6,6,2015,60.5060240963855
"246",6,6,2016,57.4979079497908
"247",6,6,2017,50.50390625
"248",6,6,2018,58.893653516295
"249",6,6,2019,33.5612334801762
"250",6,6,2020,18.8268551236749
"251",7,1,2013,61.1428571428571
"252",7,1,2014,112.054945054945
"253",7,1,2015,124.125423728814
"254",7,1,2016,117.820346320346
"255",7,1,2017,107.442263279446
"256",7,1,2018,106.378864126528
"257",7,1,2019,67.1617316341829
"258",7,2,2013,47.125
"259",7,2,2014,130.78313253012
"260",7,2,2015,106.414634146341
"261",7,2,2016,106.667425968109
"262",7,2,2017,99.7009237875289
"263",7,2,2018,106.211424332344
"264",7,2,2019,84.0914201906624
"265",7,3,2013,92.25
"266",7,3,2014,65.2168674698795
"267",7,3,2015,76.2094594594595
"268",7,3,2016,72.4505747126437
"269",7,3,2017,65.5755478662053
"270",7,3,2018,64.0819188191882
"271",7,3,2019,44.327731092437
"272",7,4,2013,7.83333333333333
"273",7,4,2014,24.506329113924
"274",7,4,2015,25.9041095890411
"275",7,4,2016,21.272952853598
"276",7,4,2017,18.4941588785047
"277",7,4,2018,17.6587786259542
"278",7,4,2019,12.4762944479102
"279",7,5,2013,32
"280",7,5,2014,23.6119402985075
"281",7,5,2015,45.1316872427984
"282",7,5,2016,30.595166163142
"283",7,5,2017,28.1434599156118
"284",7,5,2018,29.9729981378026
"285",7,5,2019,18.774920886076
"286",7,6,2013,2.66666666666667
"287",7,6,2014,37.5
"288",7,6,2015,54.0574712643678
"289",7,6,2016,42.1098039215686
"290",7,6,2017,46.8008298755187
"291",7,6,2018,53.1101321585903
"292",7,6,2019,32.5702319587629
"293",8,1,2012,140
"294",8,1,2013,68
"295",8,1,2014,119.675213675214
"296",8,1,2015,124.104026845638
"297",8,1,2016,117.679833679834
"298",8,1,2017,112.8098663926
"299",8,1,2018,102.88895859473
"300",8,1,2019,63.2359063313096
"301",8,2,2013,55.5
"302",8,2,2014,107.421052631579
"303",8,2,2015,117.552542372881
"304",8,2,2016,103.300847457627
"305",8,2,2017,111.872294372294
"306",8,2,2018,112.360331632653
"307",8,2,2019,77.3071744161582
"308",8,3,2013,61.7
"309",8,3,2014,77.3
"310",8,3,2015,83.8986486486486
"311",8,3,2016,76.9936842105263
"312",8,3,2017,65.5772097976571
"313",8,3,2018,61.9093893630991
"314",8,3,2019,43.3033262935586
"315",8,4,2013,20.4
"316",8,4,2014,23.5304347826087
"317",8,4,2015,35.0539568345324
"318",8,4,2016,23.3033707865169
"319",8,4,2017,18.1183765501691
"320",8,4,2018,16.6269393511989
"321",8,4,2019,11.7114427860697
"322",8,5,2013,27.5
"323",8,5,2014,33.0561797752809
"324",8,5,2015,44.8902953586498
"325",8,5,2016,32.8795811518325
"326",8,5,2017,28.7880794701987
"327",8,5,2018,25.38127090301
"328",8,5,2019,16.1176245210728
"329",8,6,2013,21.8333333333333
"330",8,6,2014,40.6027397260274
"331",8,6,2015,60.6220930232558
"332",8,6,2016,65.6171875
"333",8,6,2017,47.3069498069498
"334",8,6,2018,41.6294964028777
"335",8,6,2019,27.9189031505251
"336",9,1,2013,132.615384615385
"337",9,1,2014,128.928870292887
"338",9,1,2015,140.870786516854
"339",9,1,2016,120.940568475452
"340",9,1,2017,112.329113924051
"341",9,1,2018,104.471595330739
"342",9,1,2019,68.2070229868848
"343",9,2,2013,73
"344",9,2,2014,109.941422594142
"345",9,2,2015,120.467647058824
"346",9,2,2016,119.344919786096
"347",9,2,2017,122.699239956569
"348",9,2,2018,103.280487804878
"349",9,2,2019,78.1776159837453
"350",9,3,2013,98.6666666666667
"351",9,3,2014,88.8089430894309
"352",9,3,2015,86.2051282051282
"353",9,3,2016,74.4523809523809
"354",9,3,2017,66.9253567508233
"355",9,3,2018,64.387987012987
"356",9,3,2019,44.6624973042916
"357",9,4,2013,39.5384615384615
"358",9,4,2014,30.3275862068966
"359",9,4,2015,29.2738461538462
"360",9,4,2016,22.6253687315634
"361",9,4,2017,22.1105937136205
"362",9,4,2018,20.1174957118353
"363",9,4,2019,13.8703920421299
"364",9,5,2013,10.4545454545455
"365",9,5,2014,38.0780487804878
"366",9,5,2015,42.3531468531469
"367",9,5,2016,33.3402777777778
"368",9,5,2017,30.9828722002635
"369",9,5,2018,28.8227459016393
"370",9,5,2019,16.5303193397919
"371",9,6,2013,16.1111111111111
"372",9,6,2014,51.70625
"373",9,6,2015,63.4575471698113
"374",9,6,2016,56.4126213592233
"375",9,6,2017,56.4064885496183
"376",9,6,2018,46.9530791788856
"377",9,6,2019,27.5811518324607
"378",10,1,2013,133.2
"379",10,1,2014,123.049450549451
"380",10,1,2015,129.911290322581
"381",10,1,2016,114.647863247863
"382",10,1,2017,120.661220043573
"383",10,1,2018,102.744200626959
"384",10,1,2019,64.9979550102249
"385",10,2,2013,155.777777777778
"386",10,2,2014,109.614525139665
"387",10,2,2015,128.169421487603
"388",10,2,2016,102.484042553191
"389",10,2,2017,122.894438138479
"390",10,2,2018,110.610331632653
"391",10,2,2019,70.1486713286713
"392",10,3,2013,77
"393",10,3,2014,83.1912568306011
"394",10,3,2015,85.7644628099174
"395",10,3,2016,74.8438030560272
"396",10,3,2017,69.7704367301232
"397",10,3,2018,59.8288770053476
"398",10,3,2019,39.1316058643028
"399",10,4,2013,31.625
"400",10,4,2014,16.659217877095
"401",10,4,2015,33.9059080962801
"402",10,4,2016,24.817223198594
"403",10,4,2017,20.0549707602339
"404",10,4,2018,16.4370529327611
"405",10,4,2019,11.6822510822511
"406",10,5,2013,45
"407",10,5,2014,26.6013513513514
"408",10,5,2015,44.7944162436548
"409",10,5,2016,34.9753086419753
"410",10,5,2017,29.1556156968877
"411",10,5,2018,24.3041958041958
"412",10,5,2019,17.6097863115516
"413",10,6,2013,61.3333333333333
"414",10,6,2014,67.7009345794392
"415",10,6,2015,68.3148788927336
"416",10,6,2016,62.6871165644172
"417",10,6,2017,54.0903846153846
"418",10,6,2018,40.5383663366337
"419",10,6,2019,27.1559590316574
"420",11,1,2013,81.25
"421",11,1,2014,131.717948717949
"422",11,1,2015,125.330484330484
"423",11,1,2016,104.414678899083
"424",11,1,2017,111.35368956743
"425",11,1,2018,101.347345132743
"426",11,1,2019,65.3297884772701
"427",11,2,2013,65
"428",11,2,2014,100.663793103448
"429",11,2,2015,111.625
"430",11,2,2016,103.658396946565
"431",11,2,2017,130.199223803364
"432",11,2,2018,112.526509572901
"433",11,2,2019,67.6332074375363
"434",11,3,2013,60.1333333333333
"435",11,3,2014,82.1217391304348
"436",11,3,2015,80.1222222222222
"437",11,3,2016,66.451376146789
"438",11,3,2017,68.2291933418694
"439",11,3,2018,61.6325852036575
"440",11,3,2019,38.2364935517602
"441",11,4,2013,5.35714285714286
"442",11,4,2014,32.0762711864407
"443",11,4,2015,23.8936781609195
"444",11,4,2016,18.1102204408818
"445",11,4,2017,21.4541666666667
"446",11,4,2018,14.1638766519824
"447",11,4,2019,12.0436989627014
"448",11,5,2013,5.375
"449",11,5,2014,50.7083333333333
"450",11,5,2015,32.9344262295082
"451",11,5,2016,30.2894117647059
"452",11,5,2017,30.990099009901
"453",11,5,2018,23.0418326693227
"454",11,5,2019,17.0217329139262
"455",11,6,2013,40
"456",11,6,2014,75.7096774193548
"457",11,6,2015,55.3612334801762
"458",11,6,2016,57.5353535353535
"459",11,6,2017,51.9436274509804
"460",11,6,2018,39.3265306122449
"461",11,6,2019,29.579556412729
"462",12,1,2012,1
"463",12,1,2013,121.833333333333
"464",12,1,2014,120.851239669421
"465",12,1,2015,114.405405405405
"466",12,1,2016,111.461538461538
"467",12,1,2017,118.134295227525
"468",12,1,2018,106.272903225806
"469",12,1,2019,71.9646180934015
"470",12,2,2013,46.1666666666667
"471",12,2,2014,115.245454545455
"472",12,2,2015,106.507430997877
"473",12,2,2016,107.650847457627
"474",12,2,2017,118.226900584795
"475",12,2,2018,107.343223196224
"476",12,2,2019,68.2812765055131
"477",12,3,2013,46.4285714285714
"478",12,3,2014,84.3783783783784
"479",12,3,2015,70.3941908713693
"480",12,3,2016,71.6815068493151
"481",12,3,2017,73.0141509433962
"482",12,3,2018,63.5741697416974
"483",12,3,2019,39.0542558486809
"484",12,4,2013,4
"485",12,4,2014,29.2
